Year,Exchange_Rate,Currency
2015,0.68,New Zealand dollar   (NZD)                     
2016,0.70,New Zealand dollar   (NZD)                     
2017,0.71,New Zealand dollar   (NZD)                     
2018,0.67,New Zealand dollar   (NZD)                     
2019,0.67,New Zealand dollar   (NZD)                     
2020,0.70,New Zealand dollar   (NZD)                     
2000,8.85,Norwegian krone   (NOK)                     
2001,9.01,Norwegian krone   (NOK)                     
2002,6.97,Norwegian krone   (NOK)                     
2003,6.68,Norwegian krone   (NOK)                     
2004,6.04,Norwegian krone   (NOK)                     
2005,6.77,Norwegian krone   (NOK)                     
2006,6.26,Norwegian krone   (NOK)                     
2007,5.41,Norwegian krone   (NOK)                     
2008,7.00,Norwegian krone   (NOK)                     
2009,5.78,Norwegian krone   (NOK)                     
2010,5.89,Norwegian krone   (NOK)                     
2011,5.99,Norwegian krone   (NOK)                     
2012,5.57,Norwegian krone   (NOK)                     
2013,6.11,Norwegian krone   (NOK)                     
2014,7.43,Norwegian krone   (NOK)                     
2015,8.81,Norwegian krone   (NOK)                     
2016,8.62,Norwegian krone   (NOK)                     
2017,8.21,Norwegian krone   (NOK)                     
2018,8.71,Norwegian krone   (NOK)                     
2019,8.80,Norwegian krone   (NOK)                     
2020,8.73,Norwegian krone   (NOK)                     
2000,0.38,Omani rial   (OMR)                     
2001,0.38,Omani rial   (OMR)                     
2002,0.38,Omani rial   (OMR)                     
2003,0.38,Omani rial   (OMR)                     
2004,0.38,Omani rial   (OMR)                     
2005,0.38,Omani rial   (OMR)                     
2006,0.38,Omani rial   (OMR)                     
2007,0.38,Omani rial   (OMR)                     
2008,0.38,Omani rial   (OMR)                     
2009,0.38,Omani rial   (OMR)                     
2010,0.38,Omani rial   (OMR)                     
2011,0.38,Omani rial   (OMR)                     
2012,0.38,Omani rial   (OMR)                     
2013,0.38,Omani rial   (OMR)                     
2014,0.38,Omani rial   (OMR)                     
2015,0.38,Omani rial   (OMR)                     
2016,0.38,Omani rial   (OMR)                     
2017,0.38,Omani rial   (OMR)                     
2018,0.38,Omani rial   (OMR)                     
2019,0.38,Omani rial   (OMR)                     
2020,0.38,Omani rial   (OMR)                     
2000,3.99,Polish zloty   (PLN)                     
2001,3.99,Polish zloty   (PLN)                     
2002,3.84,Polish zloty   (PLN)                     
2003,3.74,Polish zloty   (PLN)                     
2004,2.99,Polish zloty   (PLN)                     
2005,3.26,Polish zloty   (PLN)                     
2006,2.91,Polish zloty   (PLN)                     
2007,2.44,Polish zloty   (PLN)                     
2008,2.96,Polish zloty   (PLN)                     
2009,2.85,Polish zloty   (PLN)                     
2010,3.00,Polish zloty   (PLN)                     
2011,3.42,Polish zloty   (PLN)                     
2012,3.09,Polish zloty   (PLN)                     
2013,3.02,Polish zloty   (PLN)                     
2014,3.51,Polish zloty   (PLN)                     
2015,3.90,Polish zloty   (PLN)                     
2016,4.18,Polish zloty   (PLN)                     
2017,3.48,Polish zloty   (PLN)                     
2018,3.76,Polish zloty   (PLN)                     
2019,3.80,Polish zloty   (PLN)                     
2020,3.69,Polish zloty   (PLN)                     
2000,3.64,Qatari riyal   (QAR)                     
2001,3.64,Qatari riyal   (QAR)                     
2002,3.64,Qatari riyal   (QAR)                     
2003,3.64,Qatari riyal   (QAR)                     
2004,3.64,Qatari riyal   (QAR)                     
2005,3.64,Qatari riyal   (QAR)                     
2006,3.64,Qatari riyal   (QAR)                     
2007,3.64,Qatari riyal   (QAR)                     
2008,3.64,Qatari riyal   (QAR)                     
2009,3.64,Qatari riyal   (QAR)                     
2010,3.64,Qatari riyal   (QAR)                     
2011,3.64,Qatari riyal   (QAR)                     
2012,3.64,Qatari riyal   (QAR)                     
2013,3.64,Qatari riyal   (QAR)                     
2014,3.64,Qatari riyal   (QAR)                     
2015,3.64,Qatari riyal   (QAR)                     
2016,3.64,Qatari riyal   (QAR)                     
2017,3.64,Qatari riyal   (QAR)                     
2018,3.64,Qatari riyal   (QAR)                     
2019,3.64,Qatari riyal   (QAR)                     
2020,3.64,Qatari riyal   (QAR)                     
2000,29.45,Russian ruble   (RUB)                     
2001,29.45,Russian ruble   (RUB)                     
2002,29.45,Russian ruble   (RUB)                     
2003,29.45,Russian ruble   (RUB)                     
2004,27.75,Russian ruble   (RUB)                     
2005,28.78,Russian ruble   (RUB)                     
2006,26.33,Russian ruble   (RUB)                     
2007,24.55,Russian ruble   (RUB)                     
2008,29.39,Russian ruble   (RUB)                     
2009,30.19,Russian ruble   (RUB)                     
